timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540466205278,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205278,6,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205281,6,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205284,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205287,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205288,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205291,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205292,6,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,3,0,0
1540466205295,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205298,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205298,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205301,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205302,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205304,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205307,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,2,0,0
1540466205309,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205312,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205314,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205316,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205318,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,3,0,0
1540466205321,6,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205324,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205327,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205328,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205331,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
