timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540465779815,9,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,12,12,4,0,0
1540465779805,25,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,13,13,6,0,1
1540465779804,31,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,13,13,7,0,0
1540465779825,11,HTTP Request,200,,Spike Test 1-39,text,true,,3548,273,13,13,6,0,2
1540465779823,14,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,13,13,7,0,0
1540465779807,32,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,13,13,6,0,0
1540465779822,17,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,13,13,7,0,0
1540465779800,41,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,13,13,9,0,0
1540465779801,59,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,14,14,12,0,0
1540465779835,27,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,14,14,4,0,0
1540465779785,78,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,14,14,5,0,0
1540465779839,25,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,14,14,21,0,0
1540465779830,38,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,15,15,3,0,0
1540465779824,55,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,15,15,6,0,0
1540465779837,46,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,15,15,2,0,0
1540465779817,67,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,15,15,9,0,0
1540465779841,43,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,15,15,21,0,0
1540465779836,48,HTTP Request,200,,Spike Test 1-39,text,true,,3548,273,15,15,2,0,0
1540465779864,20,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,15,15,3,0,0
1540465779839,45,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,15,15,23,0,0
1540465779821,63,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,15,15,7,0,0
1540465779845,66,HTTP Request,200,,Spike Test 1-38,text,true,,3548,273,17,17,17,0,8
1540465779884,28,HTTP Request,200,,Spike Test 1-39,text,true,,3548,273,17,17,16,0,0
1540465779860,53,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,17,17,48,0,0
1540465779862,51,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,17,17,11,0,0
1540465779815,99,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,17,17,11,0,0
